air_store_id,Model_No.,Selected_Model,Training_R2,Testing_R2,RMSLE
air_a21ffca0bea1661a,model_5,"Regression with ARIMA(0,0,0) errors",0.871697301,0.965468566,0.07395731
air_a9a380530c1e121f,model_5,"Regression with ARIMA(0,0,0) errors",0.974152876,0.997942508,0.076683817
air_d63cfa6d6ab78446,model_5,"Regression with ARIMA(0,0,0)(1,0,0)[7] errors",0.965079897,0.982447527,0.121495148
air_2703dcb33192b181,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.983829429,0.994466301,0.126791963
air_105a7954e32dba9b,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.994805057,0.995785113,0.14206339
air_694571ea13fb9e0e,model_2,"STL +  ETS(A,N,N)",NA for STL,0.991422787,0.150461993
air_6d65542aa43b598b,model_5,"Regression with ARIMA(2,0,1)(1,0,0)[7] errors",0.954471575,0.983245827,0.161909734
air_55390f784018349a,model_5,"Regression with ARIMA(0,1,2) errors",0.984553495,0.985346212,0.162163996
air_efef1e3daecce07e,model_5,"Regression with ARIMA(1,1,1)(1,0,1)[7] errors",0.97376086,0.982727652,0.16557409
air_ca1315af9e073bd1,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.964605622,0.14328292,0.172301759
air_9cf2f1ba86229773,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.920851765,0.991405421,0.176713665
air_258dc112912fc458,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.983485661,0.988998846,0.177193794
air_efd70b04de878f25,model_5,"Regression with ARIMA(2,1,1) errors",0.932943113,0.906201109,0.180727077
air_8ce035ee1d8a56a6,model_5,"Regression with ARIMA(0,0,0)(1,0,1)[7] errors",0.904573405,0.97375952,0.18129371
air_82a6ae14151953ba,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.955421418,0.980953011,0.187772818
air_8093d0b565e9dbdf,model_5,"Regression with ARIMA(0,1,1)(1,0,0)[7] errors",0.716700792,0.79395415,0.191238367
air_47beaffd3806c979,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.959312746,0.982236977,0.193675198
air_2570ccb93badde68,model_5,"Regression with ARIMA(0,0,1)(0,0,1)[7] errors",0.963836427,0.971649937,0.195217668
air_32460819c7600037,model_5,"Regression with ARIMA(1,1,1)(1,0,1)[7] errors",0.949750018,0.97873795,0.195307556
air_4d71826793c09b22,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.715575071,0.186710595,0.195486881
air_7bda6048a4a78837,model_1,"ETS(A,N,N)",0.077742277,NA,0.196402399
air_e0aee25b56a069f2,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.927328723,0.968874373,0.19653722
air_e57dd6884595f60d,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.954650729,0.975132953,0.197268556
air_73f316e6a18d8aa9,model_5,"Regression with ARIMA(0,1,1) errors",0.942411285,0.984948,0.198068674
air_42c9aa6d617c5057,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.976125286,0.979432794,0.200564091
air_ebd31e812960f517,model_5,"Regression with ARIMA(0,1,1)(1,0,0)[7] errors",0.938070025,0.977534082,0.208482255
air_e55abd740f93ecc4,model_5,"Regression with ARIMA(1,0,1)(0,0,1)[7] errors",0.929612327,0.970704275,0.209807288
air_d98380a4aeb0290b,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.928009217,0.084326903,0.210024195
air_764f71040a413d4d,model_5,"Regression with ARIMA(0,1,1) errors",0.988783837,0.989097443,0.213212678
air_c28983412a7eefcf,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.958572675,0.982012173,0.21338338
air_a239a44805932bab,model_4,"ARIMA(1,0,0)(2,1,0)[7]",0.714940964,0.972558419,0.214425929
air_9152d9926e5c4a3a,model_5,"Regression with ARIMA(0,1,1) errors",0.96868514,0.978760887,0.214433505
air_bac5f4441db21db9,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.973019126,0.971266337,0.214849697
air_f6b2489ccf873c3b,model_4,"ARIMA(0,0,1) with non-zero mean",0.052803514,0.015239136,0.217259442
air_8a59bb0c497b771e,model_5,"Regression with ARIMA(0,0,0) errors",0.983960715,0.977697754,0.217447028
air_d34c0861a2be94cb,model_1,"ETS(A,N,A)",0.902685651,0.974395508,0.21966914
air_ac7a7427c9ae12a5,model_5,"Regression with ARIMA(0,1,1) errors",0.980186259,0.988910204,0.220883763
air_670a0c1c4108bcea,model_5,"Regression with ARIMA(0,1,1) errors",0.901539298,0.953372467,0.221364834
air_9bf0ccac497c4af3,model_4,"ARIMA(1,0,0)(2,1,0)[7] with drift",0.743060146,0.976513893,0.221656749
air_20619d21192aa571,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.879187096,0.964191683,0.222348784
air_f26f36ec4dc5adb0,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.822871946,0.511785314,0.227175821
air_bf21b8350771879b,model_5,"Regression with ARIMA(0,1,1) errors",0.966906415,0.975470488,0.227893984
air_dea0655f96947922,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.696800712,0.549854627,0.227972739
air_99b01136f451fc0e,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.975026126,0.974935816,0.22947703
air_9d5a980b211e1795,model_5,"Regression with ARIMA(2,1,1) errors",0.868980883,0.927235111,0.230677552
air_fe58c074ec1445ea,model_5,"Regression with ARIMA(1,0,0) errors",0.941898494,0.983431127,0.230878114
air_c88467d88b2c8ecd,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.942320214,0.958611372,0.23161221
air_bbe1c1a47e09f161,model_5,"Regression with ARIMA(0,1,1)(2,0,0)[7] errors",0.656095884,0.775855289,0.233104818
air_d5e0a20370c325c7,model_5,"Regression with ARIMA(0,1,1)(2,0,2)[7] errors",0.955649638,0.971866157,0.234398332
air_07b314d83059c4d2,model_5,"Regression with ARIMA(0,1,1) errors",0.660466647,0.488141946,0.236712035
air_eb120e6d384a17a8,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.962881758,0.962034767,0.236930169
